appid,sessionid,repeated,app,app-ctrl,apprisk,service,srcip,dstip,subtype,eventtype,url,parameters,filename
24466,78040,,Ping,,elevated,PING,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
25855,78042,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,00 01 00 01
48883,78042,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,"UnitID:0, Address:1, Address:1","UnitID=0,Ref=1-1,Data=00 01"
25855,78042,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
48883,78042,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
25855,78042,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,02 00 e1
16938,78042,,Modbus,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
25855,78048,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,00 01 00 01
48883,78048,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,"UnitID:0, Address:1, Address:1","UnitID=0,Ref=1-1,Data=00 01"
25855,78048,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
48883,78048,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
25855,78048,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,02 01 51
16938,78048,,Modbus,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
25855,78050,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,00 01 00 01
48883,78050,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,"UnitID:0, Address:1, Address:1","UnitID=0,Ref=1-1,Data=00 01"
25855,78050,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
48883,78050,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
25855,78050,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,02 01 59
16938,78050,,Modbus,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
25855,78052,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,00 01 00 01
48883,78052,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,"UnitID:0, Address:1, Address:1","UnitID=0,Ref=1-1,Data=00 01"
25855,78052,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
48883,78052,,Modbus_Func03.Read.Holding.Validation,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,
25855,78052,,Modbus_Read.Holding.Registers,,elevated,MODBUS,84.3.251.103,84.3.251.102,app-ctrl,signature,,,02 01 69
