sentpktdelta,parameters,time,appid,rcvdbyte,eventtype,devid,logid,service,sentpkt,direction,clouduser,proto,rcvdpktdelta,date,duration,tz,vd,dstcountry,filesize,filename,dstintf,srcintfrole,masterdstmac,action,srcip,srcintf,incidentserialno,mastersrcmac,appcat,subtype,sessionid,srcserver,poluuid,policytype,applist,msg,countapp,dstintfrole,identifier,dstport,utmaction,rcvdpkt,transip,transport,srccountry,icmpid,durationdelta,type,sentdelta,devname,app,cloudaction,srcport,rcvddelta,dstmac,level,dstip,icmpcode,eventtime,sentbyte,policyid,trandisp,srcmac,icmptype,apprisk,dstserver
,,21:46:19,24466,,signature,FGVM02TM24011031,1059028704,PING,,outgoing,,1,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206429622,,Network.Service,app-ctrl,77808,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Network.Service: Ping,,undefined,,,,,,,Hungary,0x7ee7,,utm,,FGDIT,Ping,,,,,information,84.3.251.102,0x00,1725770779449908434,,4,,,0x08,elevated,
,,21:46:19,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206429624,,Operational.Technology,app-ctrl,77810,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,50759,,,information,84.3.251.102,,1725770779452037590,,4,,,,elevated,
,"UnitID:0, Address:1, Address:1",21:46:19,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206429625,,Operational.Technology,app-ctrl,77810,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,50759,,,information,84.3.251.102,,1725770779452150581,,4,,,,elevated,
,,21:46:19,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206429626,,Operational.Technology,app-ctrl,77810,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,50759,,,information,84.3.251.102,,1725770779452229531,,4,,,,elevated,
,,21:46:19,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206429627,,Operational.Technology,app-ctrl,77810,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,,50759,,,information,84.3.251.102,,1725770779452771768,,4,,,,elevated,
,,21:46:19,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,84.3.251.102,6,,2024-09-07,,-0700,root,Hungary,3,02 00 90,port7,undefined,,pass,84.3.251.103,port7,206429628,,Operational.Technology,app-ctrl,77810,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,50759,,,information,84.3.251.102,,1725770779452875591,,4,,,,elevated,
,,21:46:19,16938,,signature,FGVM02TM24011031,1059028704,MODBUS,,incoming,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206429629,,Operational.Technology,app-ctrl,77810,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus,,50759,,,information,84.3.251.102,,1725770779452952063,,4,,,,elevated,
,,21:46:19,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,4,00 01 00 01,port7,undefined,,pass,84.3.251.103,port7,206429636,,Operational.Technology,app-ctrl,77812,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus_Read.Holding.Registers,others,46925,,,information,84.3.251.102,,1725770779454481465,,4,,,,elevated,
,"UnitID:0, Address:1, Address:1",21:46:19,48883,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,84.3.251.103,6,,2024-09-07,,-0700,root,Hungary,6,"UnitID=0,Ref=1-1,Data=00 01",port7,undefined,,pass,84.3.251.103,port7,206429637,,Operational.Technology,app-ctrl,77812,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Func03.Read.Holding.Validation,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus_Func03.Read.Holding.Validation,others,46925,,,information,84.3.251.102,,1725770779454505889,,4,,,,elevated,
,,21:46:19,25855,,signature,FGVM02TM24011031,1059028704,MODBUS,,outgoing,,6,,2024-09-07,,-0700,root,Hungary,,,port7,undefined,,pass,84.3.251.103,port7,206429638,,Operational.Technology,app-ctrl,77812,,2bb0f70e-4038-51ef-134a-c9f410b48b6f,sniffer,sniffer-profile,Operational.Technology: Modbus_Read.Holding.Registers,,undefined,,502,,,,,Hungary,,,utm,,FGDIT,Modbus_Read.Holding.Registers,,46925,,,information,84.3.251.102,,1725770779454522906,,4,,,,elevated,
